Date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Price
2015-05-21,33.8765495659132,25.881769925701104,42.16477695946315,33.8765495659132,33.8765495659132,0.14392528157336176,0.14392528157336176,0.14392528157336176,0.14392528157336176,0.14392528157336176,0.14392528157336176,0.0,0.0,0.0,34.02047484748656
2015-05-22,33.8765495659132,25.725024311021215,42.33674058642859,33.8765495659132,33.8765495659132,0.13037001178089735,0.13037001178089735,0.13037001178089735,0.13037001178089735,0.13037001178089735,0.13037001178089735,0.0,0.0,0.0,34.0069195776941
2015-05-26,33.8765495659132,26.14389553475695,42.750510366933874,33.8765495659132,33.8765495659132,0.08089308611910455,0.08089308611910455,0.08089308611910455,0.08089308611910455,0.08089308611910455,0.08089308611910455,0.0,0.0,0.0,33.957442652032306
2015-05-27,33.8765495659132,25.880420748966614,42.716402758435045,33.8765495659132,33.8765495659132,0.07107973890073475,0.07107973890073475,0.07107973890073475,0.07107973890073475,0.07107973890073475,0.07107973890073475,0.0,0.0,0.0,33.94762930481394
2015-05-28,33.8765495659132,25.88062170292125,42.16176725804774,33.8765495659132,33.8765495659132,0.06286711891417437,0.06286711891417437,0.06286711891417437,0.06286711891417437,0.06286711891417437,0.06286711891417437,0.0,0.0,0.0,33.93941668482738
2015-05-29,33.8765495659132,25.52722798524993,42.89363537086677,33.8765495659132,33.8765495659132,0.056541537500882456,0.056541537500882456,0.056541537500882456,0.056541537500882456,0.056541537500882456,0.056541537500882456,0.0,0.0,0.0,33.933091103414085
2015-06-01,33.8765495659132,26.162451511773824,42.68143136823421,33.8765495659132,33.8765495659132,0.05151030429737174,0.05151030429737174,0.05151030429737174,0.05151030429737174,0.05151030429737174,0.05151030429737174,0.0,0.0,0.0,33.928059870210575
2015-06-02,33.8765495659132,25.771319925645454,42.027610820358845,33.8765495659132,33.8765495659132,0.05522486987911836,0.05522486987911836,0.05522486987911836,0.05522486987911836,0.05522486987911836,0.05522486987911836,0.0,0.0,0.0,33.93177443579232
2015-06-03,33.8765495659132,26.02157119763099,41.874836365918796,33.8765495659132,33.8765495659132,0.06191664702005863,0.06191664702005863,0.06191664702005863,0.06191664702005863,0.06191664702005863,0.06191664702005863,0.0,0.0,0.0,33.93846621293326
2015-06-04,33.8765495659132,25.94680612888714,41.714588983701475,33.8765495659132,33.8765495659132,0.07168703712328423,0.07168703712328423,0.07168703712328423,0.07168703712328423,0.07168703712328423,0.07168703712328423,0.0,0.0,0.0,33.948236603036484
2015-06-05,33.8765495659132,25.70038750078905,42.96029887160209,33.8765495659132,33.8765495659132,0.0845849977199545,0.0845849977199545,0.0845849977199545,0.0845849977199545,0.0845849977199545,0.0845849977199545,0.0,0.0,0.0,33.96113456363316
2015-06-08,33.8765495659132,25.177688092810804,41.524896212199046,33.8765495659132,33.8765495659132,0.14167055747321416,0.14167055747321416,0.14167055747321416,0.14167055747321416,0.14167055747321416,0.14167055747321416,0.0,0.0,0.0,34.01822012338641
2015-06-09,33.8765495659132,25.97960498991544,42.081611760775566,33.8765495659132,33.8765495659132,0.16640332725672088,0.16640332725672088,0.16640332725672088,0.16640332725672088,0.16640332725672088,0.16640332725672088,0.0,0.0,0.0,34.042952893169925
2015-06-10,33.8765495659132,26.502572173273055,41.995877009054645,33.8765495659132,33.8765495659132,0.19362363404455138,0.19362363404455138,0.19362363404455138,0.19362363404455138,0.19362363404455138,0.19362363404455138,0.0,0.0,0.0,34.07017319995775
2015-06-11,33.8765495659132,25.873070880584933,41.93394642246315,33.8765495659132,33.8765495659132,0.2230255855247041,0.2230255855247041,0.2230255855247041,0.2230255855247041,0.2230255855247041,0.2230255855247041,0.0,0.0,0.0,34.099575151437904
2015-06-12,33.8765495659132,25.736012088701756,41.88988482650813,33.8765495659132,33.8765495659132,0.2542504212053817,0.2542504212053817,0.2542504212053817,0.2542504212053817,0.2542504212053817,0.2542504212053817,0.0,0.0,0.0,34.130799987118586
2015-06-15,33.8765495659132,25.609064240006727,42.08252669482502,33.8765495659132,33.8765495659132,0.3546091439539173,0.3546091439539173,0.3546091439539173,0.3546091439539173,0.3546091439539173,0.3546091439539173,0.0,0.0,0.0,34.23115870986712
2015-06-16,33.8765495659132,25.717560182109043,43.112222772294146,33.8765495659132,33.8765495659132,0.38870477557338484,0.38870477557338484,0.38870477557338484,0.38870477557338484,0.38870477557338484,0.38870477557338484,0.0,0.0,0.0,34.26525434148659
2015-06-17,33.8765495659132,26.729343117220235,42.25926152828539,33.8765495659132,33.8765495659132,0.4222772767281834,0.4222772767281834,0.4222772767281834,0.4222772767281834,0.4222772767281834,0.4222772767281834,0.0,0.0,0.0,34.29882684264138
2015-06-18,33.8765495659132,25.70421444794008,42.38091672063396,33.8765495659132,33.8765495659132,0.45481032661544774,0.45481032661544774,0.45481032661544774,0.45481032661544774,0.45481032661544774,0.45481032661544774,0.0,0.0,0.0,34.33135989252865
2015-06-19,33.8765495659132,25.956601693398916,42.21298722071451,33.8765495659132,33.8765495659132,0.48579646707761925,0.48579646707761925,0.48579646707761925,0.48579646707761925,0.48579646707761925,0.48579646707761925,0.0,0.0,0.0,34.36234603299082
2015-06-22,33.8765495659132,26.489900183363325,43.30037077517858,33.8765495659132,33.8765495659132,0.5647652707971222,0.5647652707971222,0.5647652707971222,0.5647652707971222,0.5647652707971222,0.5647652707971222,0.0,0.0,0.0,34.441314836710326
2015-06-23,33.8765495659132,26.12886340169969,42.55616139678873,33.8765495659132,33.8765495659132,0.585052808158611,0.585052808158611,0.585052808158611,0.585052808158611,0.585052808158611,0.585052808158611,0.0,0.0,0.0,34.46160237407181
2015-06-24,33.8765495659132,25.72067447340245,42.903107415904735,33.8765495659132,33.8765495659132,0.6017696894996816,0.6017696894996816,0.6017696894996816,0.6017696894996816,0.6017696894996816,0.6017696894996816,0.0,0.0,0.0,34.478319255412885
2015-06-25,33.8765495659132,26.43508022198722,42.24517283475882,33.8765495659132,33.8765495659132,0.6146820388209796,0.6146820388209796,0.6146820388209796,0.6146820388209796,0.6146820388209796,0.6146820388209796,0.0,0.0,0.0,34.49123160473418
